state_history,actions
"[[43.0, -4.0], [43.0, -5.0], [42.0, -5.0], [42.0, -6.0]]","[0.0, 0.0]"
"[[43.0, -5.0], [42.0, -5.0], [42.0, -6.0], [42.0, -6.0]]","[0.0, 0.0]"
"[[42.0, -5.0], [42.0, -6.0], [42.0, -6.0], [41.0, -7.0]]","[0.0, 0.0]"
"[[42.0, -6.0], [42.0, -6.0], [41.0, -7.0], [41.0, -8.0]]","[0.0, 0.0]"
"[[42.0, -6.0], [41.0, -7.0], [41.0, -8.0], [40.0, -9.0]]","[0.0, 0.0]"
"[[41.0, -7.0], [41.0, -8.0], [40.0, -9.0], [40.0, -10.0]]","[0.0, 0.0]"
"[[41.0, -8.0], [40.0, -9.0], [40.0, -10.0], [40.0, -11.0]]","[0.0, 0.0]"
"[[40.0, -9.0], [40.0, -10.0], [40.0, -11.0], [39.0, -12.0]]","[0.0, 0.0]"
"[[40.0, -10.0], [40.0, -11.0], [39.0, -12.0], [39.0, -13.0]]","[0.0, 0.0]"
"[[40.0, -11.0], [39.0, -12.0], [39.0, -13.0], [38.0, -14.0]]","[0.0, 0.0]"
"[[39.0, -12.0], [39.0, -13.0], [38.0, -14.0], [38.0, -15.0]]","[0.0, 0.0]"
"[[39.0, -13.0], [38.0, -14.0], [38.0, -15.0], [38.0, -16.0]]","[0.0, 0.0]"
"[[38.0, -14.0], [38.0, -15.0], [38.0, -16.0], [37.0, -17.0]]","[0.0, 0.0]"
"[[38.0, -15.0], [38.0, -16.0], [37.0, -17.0], [37.0, -18.0]]","[0.0, 0.0]"
"[[38.0, -16.0], [37.0, -17.0], [37.0, -18.0], [36.0, -19.0]]","[0.0, 0.0]"
"[[37.0, -17.0], [37.0, -18.0], [36.0, -19.0], [36.0, -20.0]]","[0.0, 0.0]"
"[[37.0, -18.0], [36.0, -19.0], [36.0, -20.0], [36.0, -21.0]]","[-24.5, 0.0]"
"[[36.0, -19.0], [36.0, -20.0], [36.0, -21.0], [35.0, -21.0]]","[-70.0, 0.0]"
"[[36.0, -20.0], [36.0, -21.0], [35.0, -21.0], [35.0, -21.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -1.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -1.0], [47.0, 0.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -1.0], [47.0, 0.0], [47.0, 1.0]]","[0.0, 0.0]"
"[[48.0, -1.0], [47.0, 0.0], [47.0, 1.0], [46.0, 2.0]]","[0.0, 0.0]"
"[[47.0, 0.0], [47.0, 1.0], [46.0, 2.0], [46.0, 2.0]]","[0.0, 0.0]"
"[[47.0, 1.0], [46.0, 2.0], [46.0, 2.0], [46.0, 2.0]]","[0.0, 0.0]"
"[[46.0, 2.0], [46.0, 2.0], [46.0, 2.0], [45.0, 3.0]]","[0.0, 0.0]"
"[[46.0, 2.0], [46.0, 2.0], [45.0, 3.0], [45.0, 3.0]]","[0.0, 0.0]"
"[[46.0, 2.0], [45.0, 3.0], [45.0, 3.0], [44.0, 3.0]]","[0.0, 0.0]"
"[[44.0, 3.0], [44.0, 3.0], [43.0, 3.0], [43.0, 2.0]]","[0.0, 0.0]"
"[[44.0, 3.0], [43.0, 3.0], [43.0, 2.0], [42.0, 2.0]]","[0.0, 0.0]"
"[[43.0, 3.0], [43.0, 2.0], [42.0, 2.0], [42.0, 2.0]]","[0.0, 0.0]"
"[[43.0, 2.0], [42.0, 2.0], [42.0, 2.0], [42.0, 1.0]]","[0.0, 0.0]"
"[[42.0, 2.0], [42.0, 2.0], [42.0, 1.0], [41.0, 0.0]]","[0.0, 0.0]"
